rank,strategy,algorithm,weighted_f1,micro_f1,macro_f1,subset_accuracy,hamming_loss,training_time
1,BR,xgboost,0.8932509812833659,0.8933112216694307,0.8931907408973011,0.7601683029453016,0.067671809256662,5.230760335922241
2,CC,xgboost,0.8915843535255354,0.8933843630399125,0.8897843440111585,0.7629733520336606,0.06837307152875176,4.077866077423096
3,BR,svm,0.8324803436275843,0.8411967779056386,0.8237639093495298,0.6858345021037868,0.0967741935483871,45.952301025390625
5,LP,logistic,0.8152394938093975,0.8251912889935256,0.8052876986252695,0.6577840112201964,0.1041374474053296,0.30469298362731934
5,LP,svm,0.8152394938093975,0.8251912889935256,0.8052876986252695,0.6577840112201964,0.1041374474053296,0.2823519706726074
5,LP,xgboost,0.8152394938093975,0.8251912889935256,0.8052876986252695,0.6577840112201964,0.1041374474053296,0.27582836151123047
7,CC,svm,0.8108753011164587,0.8258823529411765,0.7958682492917408,0.6633941093969145,0.10378681626928471,39.36032795906067
8,BR,logistic,0.8092817668860217,0.8256559766763848,0.7929075570956587,0.6690042075736325,0.10483870967741936,0.24407196044921875
9,CC,logistic,0.7959204268076299,0.8135198135198135,0.7783210400954463,0.6451612903225806,0.11220196353436185,0.2665588855743408
